rank,name,domain,registrar
1,Wal-Mart Stores,walmartstores.com,NETWORK SOLUTIONS INC.
2,Exxon Mobil,exxonmobil.com,REGISTER.COM INC.
3,General Motors,gm.com,TUCOWS INC.
4,Ford Motor,ford.com,NETWORK SOLUTIONS INC.
5,Enron,enron.com,REGISTER.COM INC.
6,General Electric,ge.com,NETWORK SOLUTIONS INC.
7,Citigroup,citigroup.com,NETWORK SOLUTIONS INC.
8,ChevronTexaco,chevron.com,REGISTER.COM INC.
9,Intl. Business Machines,ibm.com,NETWORK SOLUTIONS INC.
10,Philip Morris,philipmorris.com,REGISTER.COM INC.
11,Verizon Communications,verizon.com,NETWORK SOLUTIONS INC.
12,American International Group,aig.com,NETWORK SOLUTIONS INC.
13,American Electric Power,aep.com,NETWORK SOLUTIONS INC.
14,Duke Energy,duke-energy.com,REGISTER.COM INC.
15,AT&T,att.com,NETWORK SOLUTIONS INC.
16,Boeing,boeing.com,NETWORK SOLUTIONS INC.
17,El Paso,elpaso.com,NETWORK SOLUTIONS INC.
18,Home Depot,homedepot.com,REGISTER.COM INC.
19,Bank of America Corp.,bankofamerica.com,TUCOWS INC.
20,Fannie Mae,fanniemae.com,NETWORK SOLUTIONS INC.
21,J.P. Morgan Chase & Co.,jpmorganchase.com,NETWORK SOLUTIONS INC.
22,Kroger,kroger.com,NETWORK SOLUTIONS INC.
23,Cardinal Health,cardinal.com,NETWORK SOLUTIONS INC.
24,Merck,merck.com,NETWORK SOLUTIONS INC.
25,State Farm Insurance Cos.,statefarm.com,REGISTER.COM INC.
26,Reliant Energy,reliantenergy.com,NETWORK SOLUTIONS INC.
27,SBC Communications,sbc.com,NETWORK SOLUTIONS INC.
28,Hewlett-Packard,hp.com,NETWORK SOLUTIONS INC.
29,Morgan Stanley Dean Witter,msdw.com,NETWORK SOLUTIONS INC.
30,Dynegy,dynegy.com,NETWORK SOLUTIONS INC.
31,McKesson,mckesson.com,NETWORK SOLUTIONS INC.
32,Sears Roebuck,sears.com,REGISTER.COM INC.
33,Aquila,utilicorp.com,REGISTER.COM INC.
34,Target,target.com,NETWORK SOLUTIONS INC.
35,Procter & Gamble,pg.com,REGISTER.COM INC.
36,Merrill Lynch,ml.com,NETWORK SOLUTIONS INC.
37,AOL Time Warner,aoltimewarner.com,AMERICA ONLINE INC. DBA AOL AND/OR COMPUSERVE-AOL
38,Albertson's,albertsons.com,NETWORK SOLUTIONS INC.
39,Berkshire Hathaway,berkshirehathaway.com,NETWORK SOLUTIONS INC.
40,Kmart,bluelight.com,NETWORK SOLUTIONS INC.
41,Freddie Mac,freddiemac.com,NETWORK SOLUTIONS INC.
42,WorldCom,worldcom.com,NETWORK SOLUTIONS INC.
43,Marathon Oil,marathon.com,NETWORK SOLUTIONS INC.
44,Costco Wholesale,costco.com,NETWORK SOLUTIONS INC.
45,Safeway,safeway.com,NETWORK SOLUTIONS INC.
46,Compaq Computer,compaq.com,NETWORK SOLUTIONS INC.
47,Johnson & Johnson,jnj.com,NETWORK SOLUTIONS INC.
48,Conoco,conoco.com,REGISTER.COM INC.
49,Pfizer,pfizer.com,NETWORK SOLUTIONS INC.
50,J.C. Penney,jcpenney.net,REGISTER.COM INC.
51,MetLife,metlife.com,123 REGISTRATION INC.
52,Mirant,mirant.com,NETWORK SOLUTIONS INC.
53,Dell Computer,dell.com,NETWORK SOLUTIONS INC.
54,Goldman Sachs Group,gs.com,NETWORK SOLUTIONS INC.
55,United Parcel Service,ups.com,NETBENEFIT PLC AKA NETNAMES
56,Motorola,motorola.com,NETWORK SOLUTIONS INC.
57,Allstate,allstate.com,REGISTER.COM INC.
58,TXU,txu.com,NETWORK SOLUTIONS INC.
59,United Technologies,utc.com,NETWORK SOLUTIONS INC.
60,Dow Chemical,dow.com,NETWORK SOLUTIONS INC.
61,ConAgra,conagra.com,G.K. GROUP L.L.C.
62,Prudential Financial,prudential.com,NETWORK SOLUTIONS INC.
63,PepsiCo,pepsico.com,REGISTER.COM INC.
64,Wells Fargo,wellsfargo.com,NETWORK SOLUTIONS INC.
65,Intel,intel.com,NAMEENGINE INC.
66,International Paper,ipaper.com,NETWORK SOLUTIONS INC.
67,Delphi,delphiauto.com,REGISTER.COM INC.
68,Sprint,sprint.com,NETWORK SOLUTIONS INC.
69,New York Life Insurance,newyorklife.com,NETWORK SOLUTIONS INC.
70,E.I. du Pont de Nemours,dupont.com,NETWORK SOLUTIONS INC.
71,Georgia-Pacific,gp.com,NETWORK SOLUTIONS INC.
72,Microsoft,microsoft.com,NETWORK SOLUTIONS INC.
73,Walt Disney,disney.com,NETWORK SOLUTIONS INC.
74,Aetna,aetna.com,NETWORK SOLUTIONS INC.
75,Ingram Micro,ingrammicro.com,NETWORK SOLUTIONS INC.
76,Lucent Technologies,lucent.com,NETWORK SOLUTIONS INC.
77,Lockheed Martin,lockheedmartin.com,NETWORK SOLUTIONS INC.
78,Walgreen,walgreens.com,NETWORK SOLUTIONS INC.
79,Bank One Corp.,bankone.com,NETWORK SOLUTIONS INC.
80,TIAA-CREF,tiaa-cref.org,NETWORK SOLUTIONS INC.
81,Phillips Petroleum,phillips66.com,REGISTER.COM INC.
82,BellSouth,bellsouth.com,NETWORK SOLUTIONS INC.
83,Honeywell International,honeywell.com,NETWORK SOLUTIONS INC.
84,UnitedHealth Group,unitedhealthgroup.com,NETWORK SOLUTIONS INC.
85,Viacom,viacom.com,NAMEENGINE INC.
86,Supervalu,supervalu.com,NETWORK SOLUTIONS INC.
87,PG&E Corp.,pgecorp.com,NETWORK SOLUTIONS INC.
88,Alcoa,alcoa.com,DOMAINDISCOVER
89,American Express,americanexpress.com,NETWORK SOLUTIONS INC.
90,Wachovia Corp.,wachovia.com,CORPORATE DOMAINS INC.
91,Lehman Brothers Holdings,lehman.com,NETWORK SOLUTIONS INC.
92,Cisco Systems,cisco.com,NETWORK SOLUTIONS INC.
93,CVS,cvs.com,ALLDOMAINS.COM INC.
94,Lowe's,lowes.com,NETWORK SOLUTIONS INC.
95,Sysco,sysco.com,NETWORK SOLUTIONS INC.
96,Bristol-Myers Squibb,bms.com,NETWORK SOLUTIONS INC.
97,Electronic Data Systems,eds.com,TUCOWS INC.
98,Caterpillar,cat.com,EMARKMONITOR INC. DBA MARKMONITOR
99,Coca-Cola,coca-cola.com,REGISTER.COM INC.
100,Archer Daniels Midland,admworld.com,NETWORK SOLUTIONS INC.
101,AutoNation,autonation.com,NETWORK SOLUTIONS INC.
102,Qwest Communications,qwest.com,NETWORK SOLUTIONS INC.
103,FedEx,fedex.com,NETWORK SOLUTIONS INC.
104,Mass. Mutual Life Insurance,massmutual.com,NETWORK SOLUTIONS INC.
105,Pharmacia,pharmacia.com,REGISTER.COM INC.
106,FleetBoston Financial,fleet.com,REGISTER.COM INC.
107,Cigna,cigna.com,NETWORK SOLUTIONS INC.
108,AMR,amrcorp.com,NETWORK SOLUTIONS INC.
109,Loews,loews.com,NETWORK SOLUTIONS INC.
110,Solectron,solectron.com,NETWORK SOLUTIONS INC.
111,Johnson Controls,johnsoncontrols.com,NETWORK SOLUTIONS INC.
112,Sun Microsystems,sun.com,NETWORK SOLUTIONS INC.
113,HCA,hcahealthcare.com,REGISTER.COM INC.
114,Visteon,visteon.com,NETWORK SOLUTIONS INC.
